Accepted Symbol,Synonym Symbol,Scientific Name,Growth Habit,Invasive,Bloat,C:N Ratio,Coppice Potential,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Shade Tolerance,"Temperature, Minimum (°F)",Commercial Availability,Propogated by Seed,Fodder Product,Palatable Browse Animal,Palatable Graze Animal,Protein Potential
ETLIN,,Etlingera,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETCE,,Etlingera cevuga,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETEL,,Etlingera elatior,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBOT,,Eubotrys,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURA14,,Eubotrys racemosus,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURE18,,Eubotrys recurvus,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBRA,,Eubrachion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAM3,,Eubrachion ambiguum,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAMJ,,Eubrachion ambiguum var. jamaicense,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCAL,,Eucalyptus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAC2,,Eucalyptus acaciiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAC4,,Eucalyptus accedens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAC5,,Eucalyptus acmenoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAG3,,Eucalyptus agglomerata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAL9,,Eucalyptus alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAL11,,Eucalyptus albida,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAL12,,Eucalyptus alpina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAM8,,Eucalyptus amplifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAN9,,Eucalyptus anceps,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAN10,,Eucalyptus andrewsii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUANC2,,Eucalyptus andrewsii ssp. campanulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAN11,,Eucalyptus annulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAN12,,Eucalyptus ×antipolitensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAP3,,Eucalyptus apiculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAP4,,Eucalyptus approximans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAS4,,Eucalyptus astringens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBA7,,Eucalyptus badjensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBA8,,Eucalyptus baeuerlenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBA9,,Eucalyptus bancroftii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBA10,,Eucalyptus banksii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBA11,,Eucalyptus baxteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBE5,,Eucalyptus behriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBE6,,Eucalyptus beyeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBL2,,Eucalyptus blakelyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBL3,,Eucalyptus blaxlandii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBO10,,Eucalyptus bosistoana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBO2,,Eucalyptus botryoides,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBR9,,Eucalyptus brachycalyx,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBR10,,Eucalyptus brachycorys,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBR2,,Eucalyptus bridgesiana,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBR11,,Eucalyptus brockwayi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBU3,,Eucalyptus buprestium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBU4,,Eucalyptus burracoppinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCA18,,Eucalyptus caesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCA19,,Eucalyptus caliginosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCA20,,Eucalyptus calycogona,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCA2,,Eucalyptus camaldulensis,Tree,,None,High,Yes,Rapid,60,120,Long,None,Yes,Yes,Yes,High,5,8.5,1200,20,100,20,Intermediate,17,Routinely Available,Yes,No,Low,Low,
EUCA21,,Eucalyptus cambageana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCA22,,Eucalyptus campaspe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCA23,,Eucalyptus camphora,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCA24,,Eucalyptus capitellata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCE3,,Eucalyptus cephalocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCI80,,Eucalyptus cinerea,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCL,,Eucalyptus cladocalyx,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCL5,,Eucalyptus clelandii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCL6,,Eucalyptus cloeziana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCN2,,Eucalyptus cneorifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCO27,,Eucalyptus coccifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCO28,,Eucalyptus concinna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCO29,,Eucalyptus conglobata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCO30,,Eucalyptus consideniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCO31,,Eucalyptus cordata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCO3,,Eucalyptus cornuta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCO32,,Eucalyptus coronata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCO33,,Eucalyptus corrugata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCO34,,Eucalyptus cosmophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCR,,Eucalyptus crebra,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCR3,,Eucalyptus crucis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCY3,,Eucalyptus cyanophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCY4,,Eucalyptus cylindriflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCY5,,Eucalyptus cylindrocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCY6,,Eucalyptus cypellocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDA3,,Eucalyptus dalrympleana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDA4,,Eucalyptus dawsonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDE11,,Eucalyptus dealbata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDE,,Eucalyptus deanei,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDE12,,Eucalyptus decipiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDE2,,Eucalyptus deglupta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDE13,,Eucalyptus delegatensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDE14,,Eucalyptus desmondensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDI12,,Eucalyptus dielsii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDI13,,Eucalyptus diptera,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDI14,,Eucalyptus diversicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDI15,,Eucalyptus dives,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDO6,,Eucalyptus doratoxylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDO7,,Eucalyptus dorrigoensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDR2,,Eucalyptus drummondii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDU3,,Eucalyptus dumosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDU4,,Eucalyptus dundasii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDU5,,Eucalyptus dunnii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUDW2,,Eucalyptus dwyeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUEB2,,Eucalyptus ebbanoensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUEL3,,Eucalyptus elata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUER3,,Eucalyptus eremicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUER4,,Eucalyptus eremophila,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUER5,,Eucalyptus erythrocorys,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUER6,,Eucalyptus erythronema,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUERM2,,Eucalyptus erythronema var. marginata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUEU5,,Eucalyptus eudesmioides,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUEU6,,Eucalyptus eugenioides,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUEW2,,Eucalyptus ewartiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUEX7,,Eucalyptus exilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUEX9,,Eucalyptus exserta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUFA7,,Eucalyptus falcata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUFA8,,Eucalyptus fastigata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUFI3,,Eucalyptus fibrosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUFIN2,,Eucalyptus fibrosa ssp. nubila,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUFL7,,Eucalyptus flocktoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUFO7,,Eucalyptus foecunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUFO8,,Eucalyptus formanii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUFO9,,Eucalyptus forrestiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUFR7,,Eucalyptus fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUFR6,,Eucalyptus fraxinoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUFR5,,Eucalyptus fruticetorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGA4,,Eucalyptus gamophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGA5,,Eucalyptus gardneri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGI2,,Eucalyptus gillii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGI3,,Eucalyptus gittinsii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGL16,,Eucalyptus glaucescens,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGL17,,Eucalyptus globoidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGL,,Eucalyptus globulus,Tree,"Cal-IPC, HEAR",None,High,Yes,Rapid,80,160,Long,None,Yes,Yes,Yes,High,5,6.8,1200,21,60,24,Intolerant,17,Routinely Available,Yes,No,Low,Low,
EUGLB2,,Eucalyptus globulus ssp. bicostata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGLG,,Eucalyptus globulus ssp. globulus,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGLM,,Eucalyptus globulus ssp. maidenii,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGO,,Eucalyptus gomphocephala,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGO6,,Eucalyptus gongylocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGO7,,Eucalyptus goniantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGOG,,Eucalyptus goniantha ssp. goniantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGO2,,Eucalyptus goniocalyx,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGR13,,Eucalyptus gracilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGR12,,Eucalyptus grandis,Tree,,None,High,Yes,Rapid,65,160,Long,None,Yes,Yes,Yes,Medium,4,6,1200,40,70,20,Intolerant,28,Contracting Only,Yes,No,Low,,
EUGR14,,Eucalyptus gregsoniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGR15,,Eucalyptus griffithsii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGR16,,Eucalyptus grossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUGU5,,Eucalyptus gunnii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUHA6,,Eucalyptus haemastoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUHA8,,Eucalyptus halophila,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUHE12,,Eucalyptus hemiphloia,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUHEA,,Eucalyptus hemiphloia var. albens,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUIN6,,Eucalyptus incrassata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUIN8,,Eucalyptus intertexta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUJO2,,Eucalyptus johnstonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUKA2,,Eucalyptus kartzoffiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUKI2,,Eucalyptus kingsmillii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUKI3,,Eucalyptus kitsoniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUKO2,,Eucalyptus kondininensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUKR2,,Eucalyptus kruseana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUKY2,,Eucalyptus kybeanensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULA16,,Eucalyptus laevopinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULA18,,Eucalyptus langleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULA17,,Eucalyptus lansdowneana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULAA2,,Eucalyptus lansdowneana ssp. albopurpurea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULA19,,Eucalyptus largiflorens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULE9,,Eucalyptus lehmannii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULE10,,Eucalyptus leptophleba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULE11,,Eucalyptus leptopoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULE12,,Eucalyptus lesouefii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULE13,,Eucalyptus leucoxylon,,,None,High,Yes,Rapid,30,50,Long,None,Yes,Yes,Yes,Medium,6,8.5,1200,20,100,20,Intolerant,22,Contracting Only,Yes,No,Low,Low,
EULEM3,,Eucalyptus leucoxylon ssp. megalocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULI6,,Eucalyptus ligulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULI7,,Eucalyptus lirata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULO8,,Eucalyptus longicornis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULO9,,Eucalyptus longifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULO10,,Eucalyptus loxophleba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULOL,,Eucalyptus loxophleba ssp. loxophleba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULU4,,Eucalyptus luehmanniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMA19,,Eucalyptus macarthurii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMA20,,Eucalyptus macrandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMA21,,Eucalyptus macrocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMA22,,Eucalyptus macrorhyncha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMAC2,,Eucalyptus macrorhyncha ssp. cannonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMA23,,Eucalyptus maculata,,,None,High,Yes,Rapid,40,75,Long,None,Yes,Yes,Yes,High,6,8,1200,20,80,20,Intolerant,19,Contracting Only,Yes,No,Low,Low,
EUMA25,,Eucalyptus major,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMA26,,Eucalyptus mannifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMAG2,,Eucalyptus mannifera ssp. gullickii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMAM2,,Eucalyptus mannifera ssp. maculosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMA4,,Eucalyptus marginata,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMC2,,Eucalyptus ×mcintyrensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUME11,,Eucalyptus megacarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUME12,,Eucalyptus megacornuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUME13,,Eucalyptus melanophloia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUME14,,Eucalyptus melliodora,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUME15,,Eucalyptus merrickiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMI14,,Eucalyptus michaeliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMI15,,Eucalyptus microcarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMI,,Eucalyptus microcorys,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMI16,,Eucalyptus microtheca,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMO8,,Eucalyptus moluccana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMO9,,Eucalyptus morrisii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMO5,,Eucalyptus ×mortoniana,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMU3,,Eucalyptus muelleriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMU4,,Eucalyptus multicaulis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMU5,,Eucalyptus mundijongensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUNE6,,Eucalyptus neglecta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUNI3,,Eucalyptus nicholii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUNI7,,Eucalyptus nigra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUNI5,,Eucalyptus nitens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUNI6,,Eucalyptus nitida,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUNO2,,Eucalyptus normantonensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUNO3,,Eucalyptus notabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUNU6,,Eucalyptus nutans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOB5,,Eucalyptus obliqua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOB6,,Eucalyptus oblonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOB11,,Eucalyptus obstans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOB10,,Eucalyptus obtusiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOC6,,Eucalyptus occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOD3,,Eucalyptus odorata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOL3,,Eucalyptus oldfieldii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOL4,,Eucalyptus oleosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOL5,,Eucalyptus oligantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOL6,,Eucalyptus olsenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOR3,,Eucalyptus oraria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOR4,,Eucalyptus orbifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOR5,,Eucalyptus oreades,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOR6,,Eucalyptus orgadophila,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOV2,,Eucalyptus ovata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOV3,,Eucalyptus ovularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUOX2,,Eucalyptus oxymitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPA14,,Eucalyptus pachyloma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPA15,,Eucalyptus pachyphylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPA,,Eucalyptus paniculata,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPA17,,Eucalyptus parramattensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPA26,,Eucalyptus parvula,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPA19,,Eucalyptus patens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPA20,,Eucalyptus pauciflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPAD2,,Eucalyptus pauciflora ssp. debeuzevillei,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPAN3,,Eucalyptus pauciflora ssp. niphophila,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPE18,,Eucalyptus pellita,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPE19,,Eucalyptus perriniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPH4,,Eucalyptus phoenicea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPI4,,Eucalyptus pileata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPI8,,Eucalyptus pilligaensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPI,,Eucalyptus pilularis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPI9,,Eucalyptus pimpiniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPI10,,Eucalyptus piperita,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPL5,,Eucalyptus planchoniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPL6,,Eucalyptus platycorys,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPL7,,Eucalyptus platypus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPLH2,,Eucalyptus platypus var. heterophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPL8,,Eucalyptus plenissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPO,,Eucalyptus polyanthemos,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPO13,,Eucalyptus populnea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPR13,,Eucalyptus praecox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPR10,,Eucalyptus prava,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPR11,,Eucalyptus preissiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPR12,,Eucalyptus propinqua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPU17,,Eucalyptus pulchella,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPU,,Eucalyptus pulverulenta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPU18,,Eucalyptus pumila,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPU19,,Eucalyptus punctata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPY3,,Eucalyptus pyriformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUPY4,,Eucalyptus pyrocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUQU2,,Eucalyptus quadrangulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURA8,,Eucalyptus radiata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURA4,,Eucalyptus raveretiana,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURE13,,Eucalyptus redunca,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURE14,,Eucalyptus regnans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURE2,,Eucalyptus resinifera,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURI8,,Eucalyptus rigens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURI6,,Eucalyptus rigidula,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURI7,,Eucalyptus risdonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURO12,,Eucalyptus robertsonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURO2,,Eucalyptus robusta,Tree,HEAR,None,High,Yes,Rapid,85,160,Long,None,Yes,Yes,Yes,Medium,4.5,6.5,1200,40,250,24,Intolerant,16,Routinely Available,Yes,No,Low,,
EURO13,,Eucalyptus rossii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURU8,,Eucalyptus rubida,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURU2,,Eucalyptus rudis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUSA17,,Eucalyptus salicifolia,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUSA,,Eucalyptus saligna,Tree,,None,High,Yes,Rapid,130,160,Long,None,Yes,Yes,No,Medium,4,6,1200,60,200,24,Intolerant,21,Routinely Available,Yes,No,Low,,
EUSA8,,Eucalyptus salmonophloia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUSA9,,Eucalyptus salubris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUSA10,,Eucalyptus sargentii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUSC4,,Eucalyptus sclerophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUSE13,,Eucalyptus sepulcralis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUSE14,,Eucalyptus sessilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUSI9,,Eucalyptus siderophloia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUSI2,,Eucalyptus sideroxylon,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
